symbol,date,open,high,low,close,volume,ingestion_timestamp,source_system,pipeline_run_id
RELIANCE.NS,2026-02-02,4368.03,4459.13,4359.15,4404.73,5951086,2026-03-16 07:36:15.268608,yfinance,20260316_073615
RELIANCE.NS,2026-02-03,4462.78,4556.28,4444.71,4546.0,4325213,2026-03-16 07:36:15.268608,yfinance,20260316_073615
RELIANCE.NS,2026-02-04,4338.21,4445.5,4214.17,4316.15,5926636,2026-03-16 07:36:15.268608,yfinance,20260316_073615
RELIANCE.NS,2026-02-05,4455.27,4455.34,4362.69,4418.57,1480655,2026-03-16 07:36:15.268608,yfinance,20260316_073615
RELIANCE.NS,2026-02-06,4507.84,4582.72,4391.4,4539.21,8722283,2026-03-16 07:36:15.268608,yfinance,20260316_073615
RELIANCE.NS,2026-02-09,4613.24,4664.51,4492.9,4575.13,2763572,2026-03-16 07:36:15.268608,yfinance,20260316_073615
RELIANCE.NS,2026-02-10,4649.4,4694.84,4594.46,4671.87,6559824,2026-03-16 07:36:15.268608,yfinance,20260316_073615
RELIANCE.NS,2026-02-11,4589.96,4707.94,4576.8,4652.14,2188357,2026-03-16 07:36:15.268608,yfinance,20260316_073615
RELIANCE.NS,2026-02-12,4574.83,4690.17,4478.45,4520.02,7675518,2026-03-16 07:36:15.268608,yfinance,20260316_073615
RELIANCE.NS,2026-02-13,4398.92,4529.77,4317.18,4365.99,6845966,2026-03-16 07:36:15.268608,yfinance,20260316_073615
RELIANCE.NS,2026-02-16,4339.13,4438.81,4249.03,4333.71,4833827,2026-03-16 07:36:15.268608,yfinance,20260316_073615
RELIANCE.NS,2026-02-17,4524.45,4554.09,4487.94,4541.56,3248938,2026-03-16 07:36:15.268608,yfinance,20260316_073615
RELIANCE.NS,2026-02-18,4716.44,4772.02,4575.02,4656.77,512266,2026-03-16 07:36:15.268608,yfinance,20260316_073615
RELIANCE.NS,2026-02-19,4517.17,4523.81,4425.65,4457.34,6930328,2026-03-16 07:36:15.268608,yfinance,20260316_073615
RELIANCE.NS,2026-02-20,4665.06,4706.86,4614.61,4627.04,9877571,2026-03-16 07:36:15.268608,yfinance,20260316_073615
RELIANCE.NS,2026-02-23,4477.42,4592.8,4404.33,4556.35,9476097,2026-03-16 07:36:15.268608,yfinance,20260316_073615
RELIANCE.NS,2026-02-24,4776.81,4787.31,4696.75,4777.14,3040870,2026-03-16 07:36:15.268608,yfinance,20260316_073615
RELIANCE.NS,2026-02-25,4572.46,4583.26,4556.8,4578.62,1384755,2026-03-16 07:36:15.268608,yfinance,20260316_073615
RELIANCE.NS,2026-02-26,4613.51,4711.47,4564.06,4588.32,6363253,2026-03-16 07:36:15.268608,yfinance,20260316_073615
RELIANCE.NS,2026-02-27,4769.66,4874.75,4691.86,4812.83,5106616,2026-03-16 07:36:15.268608,yfinance,20260316_073615
TCS.NS,2026-02-02,709.71,710.71,698.44,699.2,952621,2026-03-16 07:36:15.268608,yfinance,20260316_073615
TCS.NS,2026-02-03,678.22,693.7,664.54,672.04,7005776,2026-03-16 07:36:15.268608,yfinance,20260316_073615
TCS.NS,2026-02-04,656.48,672.01,641.4,660.36,5988737,2026-03-16 07:36:15.268608,yfinance,20260316_073615
TCS.NS,2026-02-05,679.68,694.45,665.25,670.98,7809113,2026-03-16 07:36:15.268608,yfinance,20260316_073615
TCS.NS,2026-02-06,684.99,698.15,668.74,685.29,6829355,2026-03-16 07:36:15.268608,yfinance,20260316_073615
TCS.NS,2026-02-09,691.58,705.86,686.49,690.76,3590866,2026-03-16 07:36:15.268608,yfinance,20260316_073615
TCS.NS,2026-02-10,676.57,694.61,665.04,667.27,7886182,2026-03-16 07:36:15.268608,yfinance,20260316_073615
TCS.NS,2026-02-11,679.39,685.53,676.57,679.87,7583732,2026-03-16 07:36:15.268608,yfinance,20260316_073615
TCS.NS,2026-02-12,713.77,716.1,706.25,709.61,6308665,2026-03-16 07:36:15.268608,yfinance,20260316_073615
TCS.NS,2026-02-13,684.62,694.23,675.24,685.9,5397086,2026-03-16 07:36:15.268608,yfinance,20260316_073615
TCS.NS,2026-02-16,698.36,708.59,693.99,695.9,8537684,2026-03-16 07:36:15.268608,yfinance,20260316_073615
TCS.NS,2026-02-17,693.52,703.26,681.95,699.27,2874735,2026-03-16 07:36:15.268608,yfinance,20260316_073615
TCS.NS,2026-02-18,730.1,734.77,715.33,727.29,9800064,2026-03-16 07:36:15.268608,yfinance,20260316_073615
TCS.NS,2026-02-19,742.49,753.41,731.21,735.85,6321720,2026-03-16 07:36:15.268608,yfinance,20260316_073615
TCS.NS,2026-02-20,729.59,737.56,711.82,724.94,7591008,2026-03-16 07:36:15.268608,yfinance,20260316_073615
TCS.NS,2026-02-23,738.39,750.81,730.57,747.08,4544202,2026-03-16 07:36:15.268608,yfinance,20260316_073615
TCS.NS,2026-02-24,774.28,787.42,757.56,773.26,5485075,2026-03-16 07:36:15.268608,yfinance,20260316_073615
TCS.NS,2026-02-25,803.88,820.34,796.71,811.2,1837137,2026-03-16 07:36:15.268608,yfinance,20260316_073615
TCS.NS,2026-02-26,791.01,806.46,774.01,780.34,660381,2026-03-16 07:36:15.268608,yfinance,20260316_073615
TCS.NS,2026-02-27,767.15,772.49,762.07,768.33,559281,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HDFCBANK.NS,2026-02-02,3726.58,3811.88,3719.27,3796.19,7998342,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HDFCBANK.NS,2026-02-03,3782.24,3890.2,3707.3,3814.28,1877065,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HDFCBANK.NS,2026-02-04,3941.7,3961.47,3893.52,3895.95,6237202,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HDFCBANK.NS,2026-02-05,4050.05,4150.63,3988.14,4044.26,1821636,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HDFCBANK.NS,2026-02-06,4073.74,4109.91,3951.69,4037.25,8707326,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HDFCBANK.NS,2026-02-09,4081.72,4146.46,4050.96,4093.54,8326733,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HDFCBANK.NS,2026-02-10,4141.75,4215.85,4082.6,4082.76,4091381,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HDFCBANK.NS,2026-02-11,3948.31,4053.38,3875.67,4023.94,5541351,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HDFCBANK.NS,2026-02-12,4218.48,4340.22,4095.32,4132.2,8664364,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HDFCBANK.NS,2026-02-13,4082.88,4129.9,4046.74,4089.53,5616121,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HDFCBANK.NS,2026-02-16,4070.14,4094.76,4018.29,4031.03,5833942,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HDFCBANK.NS,2026-02-17,3854.33,3903.9,3849.57,3884.44,968121,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HDFCBANK.NS,2026-02-18,3720.93,3817.42,3661.35,3719.87,9088226,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HDFCBANK.NS,2026-02-19,3659.63,3731.33,3645.92,3660.17,3132055,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HDFCBANK.NS,2026-02-20,3590.59,3659.23,3590.09,3656.79,1965950,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HDFCBANK.NS,2026-02-23,3489.64,3577.32,3404.92,3451.01,7396128,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HDFCBANK.NS,2026-02-24,3303.98,3374.66,3294.31,3368.35,7850499,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HDFCBANK.NS,2026-02-25,3284.36,3306.12,3270.36,3274.11,3688724,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HDFCBANK.NS,2026-02-26,3373.76,3464.57,3370.38,3439.34,3166350,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HDFCBANK.NS,2026-02-27,3496.67,3507.6,3449.3,3500.18,9774000,2026-03-16 07:36:15.268608,yfinance,20260316_073615
INFY.NS,2026-02-02,5079.97,5166.26,5027.88,5161.69,7407965,2026-03-16 07:36:15.268608,yfinance,20260316_073615
INFY.NS,2026-02-03,4986.61,5006.19,4951.64,4973.41,4153331,2026-03-16 07:36:15.268608,yfinance,20260316_073615
INFY.NS,2026-02-04,4922.75,4984.79,4824.07,4925.41,1886762,2026-03-16 07:36:15.268608,yfinance,20260316_073615
INFY.NS,2026-02-05,4898.24,5044.49,4810.18,4953.24,4080740,2026-03-16 07:36:15.268608,yfinance,20260316_073615
INFY.NS,2026-02-06,5123.01,5239.93,4988.33,5150.83,6036991,2026-03-16 07:36:15.268608,yfinance,20260316_073615
INFY.NS,2026-02-09,5223.84,5292.71,5082.14,5192.48,653725,2026-03-16 07:36:15.268608,yfinance,20260316_073615
INFY.NS,2026-02-10,5374.8,5474.06,5340.21,5386.96,9405561,2026-03-16 07:36:15.268608,yfinance,20260316_073615
INFY.NS,2026-02-11,5603.34,5740.69,5560.73,5636.69,8643188,2026-03-16 07:36:15.268608,yfinance,20260316_073615
INFY.NS,2026-02-12,5401.77,5541.81,5281.89,5321.95,5076458,2026-03-16 07:36:15.268608,yfinance,20260316_073615
INFY.NS,2026-02-13,5256.64,5267.59,5153.04,5177.62,3246380,2026-03-16 07:36:15.268608,yfinance,20260316_073615
INFY.NS,2026-02-16,4932.66,5042.73,4874.17,4888.58,1904478,2026-03-16 07:36:15.268608,yfinance,20260316_073615
INFY.NS,2026-02-17,5000.95,5023.44,4886.29,4911.49,8799641,2026-03-16 07:36:15.268608,yfinance,20260316_073615
INFY.NS,2026-02-18,4964.44,4972.34,4824.26,4904.87,1454321,2026-03-16 07:36:15.268608,yfinance,20260316_073615
INFY.NS,2026-02-19,4833.39,4976.5,4829.61,4867.79,4288065,2026-03-16 07:36:15.268608,yfinance,20260316_073615
INFY.NS,2026-02-20,4938.69,5059.47,4936.77,4954.77,3320953,2026-03-16 07:36:15.268608,yfinance,20260316_073615
INFY.NS,2026-02-23,5094.2,5183.13,5009.23,5160.19,1904069,2026-03-16 07:36:15.268608,yfinance,20260316_073615
INFY.NS,2026-02-24,4949.09,4952.35,4917.66,4918.61,2341834,2026-03-16 07:36:15.268608,yfinance,20260316_073615
INFY.NS,2026-02-25,4779.06,4907.93,4663.98,4779.2,6593072,2026-03-16 07:36:15.268608,yfinance,20260316_073615
INFY.NS,2026-02-26,4952.67,5083.67,4950.87,4953.84,4724729,2026-03-16 07:36:15.268608,yfinance,20260316_073615
INFY.NS,2026-02-27,4815.34,4823.9,4804.6,4806.27,6753980,2026-03-16 07:36:15.268608,yfinance,20260316_073615
ICICIBANK.NS,2026-02-02,645.32,655.63,637.1,643.16,6460727,2026-03-16 07:36:15.268608,yfinance,20260316_073615
ICICIBANK.NS,2026-02-03,613.28,628.81,606.54,627.15,704206,2026-03-16 07:36:15.268608,yfinance,20260316_073615
ICICIBANK.NS,2026-02-04,607.49,607.61,598.06,603.81,2832550,2026-03-16 07:36:15.268608,yfinance,20260316_073615
ICICIBANK.NS,2026-02-05,624.83,636.62,621.04,621.59,9935393,2026-03-16 07:36:15.268608,yfinance,20260316_073615
ICICIBANK.NS,2026-02-06,606.47,623.82,598.7,611.16,4058161,2026-03-16 07:36:15.268608,yfinance,20260316_073615
ICICIBANK.NS,2026-02-09,636.57,645.09,631.7,633.67,7115948,2026-03-16 07:36:15.268608,yfinance,20260316_073615
ICICIBANK.NS,2026-02-10,644.94,663.76,630.41,637.53,1603388,2026-03-16 07:36:15.268608,yfinance,20260316_073615
ICICIBANK.NS,2026-02-11,648.45,649.88,638.03,644.3,7732729,2026-03-16 07:36:15.268608,yfinance,20260316_073615
ICICIBANK.NS,2026-02-12,622.38,639.8,620.01,630.08,5731622,2026-03-16 07:36:15.268608,yfinance,20260316_073615
ICICIBANK.NS,2026-02-13,602.0,604.56,594.91,604.49,3188402,2026-03-16 07:36:15.268608,yfinance,20260316_073615
ICICIBANK.NS,2026-02-16,575.33,582.89,559.35,560.59,2373354,2026-03-16 07:36:15.268608,yfinance,20260316_073615
ICICIBANK.NS,2026-02-17,576.45,582.74,573.02,578.14,375748,2026-03-16 07:36:15.268608,yfinance,20260316_073615
ICICIBANK.NS,2026-02-18,596.06,612.95,585.58,599.49,2911447,2026-03-16 07:36:15.268608,yfinance,20260316_073615
ICICIBANK.NS,2026-02-19,583.87,594.42,576.54,580.28,6376475,2026-03-16 07:36:15.268608,yfinance,20260316_073615
ICICIBANK.NS,2026-02-20,600.8,604.37,593.47,603.63,1418961,2026-03-16 07:36:15.268608,yfinance,20260316_073615
ICICIBANK.NS,2026-02-23,632.27,638.27,615.67,618.07,8704740,2026-03-16 07:36:15.268608,yfinance,20260316_073615
ICICIBANK.NS,2026-02-24,642.74,656.12,629.43,638.47,804526,2026-03-16 07:36:15.268608,yfinance,20260316_073615
ICICIBANK.NS,2026-02-25,614.55,616.75,606.08,616.16,9569171,2026-03-16 07:36:15.268608,yfinance,20260316_073615
ICICIBANK.NS,2026-02-26,599.94,607.72,588.34,602.44,406366,2026-03-16 07:36:15.268608,yfinance,20260316_073615
ICICIBANK.NS,2026-02-27,597.73,611.41,588.1,606.16,9443882,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HINDUNILVR.NS,2026-02-02,3233.49,3287.9,3166.83,3259.25,9801033,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HINDUNILVR.NS,2026-02-03,3286.72,3348.39,3233.57,3288.12,3262268,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HINDUNILVR.NS,2026-02-04,3419.5,3500.25,3379.29,3418.82,678016,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HINDUNILVR.NS,2026-02-05,3523.15,3561.11,3455.63,3465.72,232211,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HINDUNILVR.NS,2026-02-06,3330.83,3419.32,3287.59,3319.63,1059429,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HINDUNILVR.NS,2026-02-09,3420.72,3503.31,3398.92,3417.83,3261774,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HINDUNILVR.NS,2026-02-10,3448.1,3541.53,3420.06,3448.64,6746987,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HINDUNILVR.NS,2026-02-11,3389.2,3402.27,3288.24,3320.97,1842204,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HINDUNILVR.NS,2026-02-12,3437.6,3531.11,3371.51,3443.85,3643917,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HINDUNILVR.NS,2026-02-13,3332.44,3424.62,3305.4,3311.95,9763278,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HINDUNILVR.NS,2026-02-16,3380.02,3398.73,3289.5,3365.21,408226,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HINDUNILVR.NS,2026-02-17,3222.31,3244.91,3151.72,3152.66,6177868,2026-03-16 07:36:15.268608,yfinance,20260316_073615
HINDUNILVR.NS,2026-02-18,3057.19,3130.25,2999.39,3037.96,4551920,2026-03-16 07:36:15.268608,yfinance,20260316_073615
